Variables="x""dx"
Zone t="         0"
i=  65
 -2.000000000000000e+00   8.002645121730267e-01
 -1.199735487826973e+00   3.455849359249512e-01
 -8.541505519020220e-01   1.933366569876983e-01
 -6.608138949143237e-01   1.239831103953464e-01
 -5.368307845189774e-01   8.659430533756474e-02
 -4.502364791814126e-01   6.414694967772711e-02
 -3.860895295036855e-01   4.961934483875935e-02
 -3.364701846649262e-01   3.968145215265517e-02
 -2.967887325122710e-01   3.258745101436050e-02
 -2.642012814979105e-01   2.734993792969925e-02
 -2.368513435682112e-01   2.337619312286215e-02
 -2.134751504453491e-01   2.029290617789731e-02
 -1.931822442674518e-01   1.785545738106420e-02
 -1.753267868863876e-01   1.589814226538855e-02
 -1.594286446209990e-01   1.430550063998437e-02
 -1.451231439810147e-01   1.299510816134314e-02
 -1.321280358196715e-01   1.190687658576689e-02
 -1.202211592339046e-01   1.099619405603114e-02
 -1.092249651778735e-01   1.022940781720028e-02
 -9.899555736067323e-02   9.580778395477663e-03
 -8.941477896519556e-02   9.030382542159709e-03
 -8.038439642303585e-02   8.562642387863084e-03
 -7.182175403517277e-02   8.165276749812045e-03
 -6.365647728536072e-02   7.828542595056720e-03
 -5.582793469030400e-02   7.544679557248579e-03
 -4.828325513305542e-02   7.307499000290485e-03
 -4.097575613276494e-02   7.112077713074094e-03
 -3.386367841969085e-02   6.954528642032387e-03
 -2.690914977765846e-02   6.831829391412136e-03
 -2.007732038624632e-02   6.741694953066757e-03
 -1.333562543317957e-02   6.682485160379614e-03
 -6.653140272799951e-03   6.653140272801172e-03
  1.221245327087672e-15   6.653140272800395e-03
  6.653140272801616e-03   6.682485160380169e-03
  1.333562543318179e-02   6.741694953066535e-03
  2.007732038624832e-02   6.831829391412247e-03
  2.690914977766057e-02   6.954528642032276e-03
  3.386367841969284e-02   7.112077713073983e-03
  4.097575613276683e-02   7.307499000290374e-03
  4.828325513305720e-02   7.544679557248690e-03
  5.582793469030589e-02   7.828542595056831e-03
  6.365647728536272e-02   8.165276749812156e-03
  7.182175403517488e-02   8.562642387862862e-03
  8.038439642303774e-02   9.030382542159598e-03
  8.941477896519734e-02   9.580778395478218e-03
  9.899555736067556e-02   1.022940781720005e-02
  1.092249651778756e-01   1.099619405603125e-02
  1.202211592339069e-01   1.190687658576617e-02
  1.321280358196730e-01   1.299510816134375e-02
  1.451231439810168e-01   1.430550063998415e-02
  1.594286446210009e-01   1.589814226538833e-02
  1.753267868863893e-01   1.785545738106453e-02
  1.931822442674538e-01   2.029290617789736e-02
  2.134751504453511e-01   2.337619312286199e-02
  2.368513435682131e-01   2.734993792969931e-02
  2.642012814979124e-01   3.258745101436022e-02
  2.967887325122727e-01   3.968145215265517e-02
  3.364701846649278e-01   4.961934483875918e-02
  3.860895295036870e-01   6.414694967772716e-02
  4.502364791814142e-01   8.659430533756396e-02
  5.368307845189781e-01   1.239831103953468e-01
  6.608138949143250e-01   1.933366569876982e-01
  8.541505519020232e-01   3.455849359249503e-01
  1.199735487826973e+00   8.002645121730265e-01
  2.000000000000000e+00   0.000000000000000e+00
Zone t="         0"
i=  65
 -2.000000000000000e+00   8.002645121730267e-01
 -1.199735487826973e+00   3.455849359249512e-01
 -8.541505519020220e-01   1.933366569876983e-01
 -6.608138949143237e-01   1.239831103953464e-01
 -5.368307845189774e-01   8.659430533756474e-02
 -4.502364791814126e-01   6.414694967772711e-02
 -3.860895295036855e-01   4.961934483875935e-02
 -3.364701846649262e-01   3.968145215265517e-02
 -2.967887325122710e-01   3.258745101436050e-02
 -2.642012814979105e-01   2.734993792969925e-02
 -2.368513435682112e-01   2.337619312286215e-02
 -2.134751504453491e-01   2.029290617789731e-02
 -1.931822442674518e-01   1.785545738106420e-02
 -1.753267868863876e-01   1.589814226538855e-02
 -1.594286446209990e-01   1.430550063998437e-02
 -1.451231439810147e-01   1.299510816134314e-02
 -1.321280358196715e-01   1.190687658576689e-02
 -1.202211592339046e-01   1.099619405603114e-02
 -1.092249651778735e-01   1.022940781720028e-02
 -9.899555736067323e-02   9.580778395477663e-03
 -8.941477896519556e-02   9.030382542159709e-03
 -8.038439642303585e-02   8.562642387863084e-03
 -7.182175403517277e-02   8.165276749812045e-03
 -6.365647728536072e-02   7.828542595056720e-03
 -5.582793469030400e-02   7.544679557248579e-03
 -4.828325513305542e-02   7.307499000290485e-03
 -4.097575613276494e-02   7.112077713074094e-03
 -3.386367841969085e-02   6.954528642032387e-03
 -2.690914977765846e-02   6.831829391412136e-03
 -2.007732038624632e-02   6.741694953066757e-03
